Culture Code,Culture Label,Culture Group Code,Culture Group Label
SAI,Other sainfoin,16,Feed
SE5,Serradelle established for the 2015 harvest,16,Feed
SE6,Serradelle established for the 2016 harvest,16,Feed
SE7,Serradelle established for the 2017 harvest,16,Feed
SE8,Serradelle established for the 2018 harvest,16,Feed
SED,Dehydrated Serradelle,16,Feed
SER,Other serradelle,16,Feed
TR5,Clover planted for the 2015 harvest,16,Feed
TR6,Clover planted for the 2016 harvest,16,Feed
TR7,Clover planted for the 2017 harvest,16,Feed
TR8,Clover planted for the 2018 harvest,16,Feed
TRD,Dehydrated clover,16,Feed
TRE,Other clover,16,Feed
VE5,Vetch planted for the 2015 harvest,16,Feed
VE6,Vetch planted for the 2016 harvest,16,Feed
VE7,Vetch planted for the 2017 harvest,16,Feed
VE8,Vetch planted for the 2018 harvest,16,Feed
VED,Dehydrated vetch,16,Feed
VES,Other vetch,16,Feed
XFE,X-Felium 5 years old or less,16,Feed
BOP,Grazed wood,17,Summer pastures and moors
SPH,Pastoral area - predominant grass and woody fodder resources present,17,Summer pastures and moors
SPL,Pastoral area - predominant woody fodder resources,17,Summer pastures and moors
PPH,Permanent meadow - predominant grass (woody forage resources absent or scarce),18,Permanent meadows
PRL,Long rotation meadow (6 years or more),18,Permanent meadows
PTR,Other temporary meadow of 5 years or less,19,Temporary meadows
RGA,Ryegrass 5 years old or less,19,Temporary meadows
AGR,Citrus,20,Orchards
ANA,Pineapple,20,Orchards
AVO,Lawyer,20,Orchards
BCA,Creole banana (fruit and vegetable) - other,20,Orchards
BCF,Creole banana (fruit and vegetable) - tenant farming,20,Orchards
BCI,Creole banana (fruit and vegetable) - joint possession,20,Orchards
BCP,Creole banana (fruit and vegetable) - property or direct use,20,Orchards
BCR,Creole banana (fruit and vegetable) - land reform,20,Orchards
BEA,Banana export - other,20,Orchards
BEF,Banana export - farming,20,Orchards
BEI,Banana export - joint ownership,20,Orchards
BEP,Banana export - property or direct use,20,Orchards
BER,Banana export - land reform,20,Orchards
CAC,Coffee / Cocoa,20,Orchards
CBT,Bigarreau cherry for transformation,20,Orchards
PFR,Small red fruit,20,Orchards
PRU,Ente plum for transformation,20,Orchards
PVT,Pavie fishing for processing,20,Orchards
PWT,Williams pear for transformation,20,Orchards
VGD,Orchard (DOM),20,Orchards
VRG,Orchard,20,Orchards
RVI,Restructuring of the vineyard,21,Vines
VRC,Vine: wine grapes,21,Vines
VRN,Vine: wine grapes not in production,21,Vines
VRT,Vine: table grapes,21,Vines
CAB,Carob,22,Nuts
CTG,Chestnut,22,Nuts
NOS,Hazelnut,22,Nuts
NOX,Nuts,22,Nuts
PIS,Pistachio,22,Nuts
OLI,Olive grove,23,Olive trees
ANE,Dill,24,Other industrial crops
ANG,Angelic,24,Other industrial crops
ANI,Anise,24,Other industrial crops
BAR,Burdock,24,Other industrial crops
BAS,Basil,24,Other industrial crops
BRH,"Borage, 5 years old or less",24,Other industrial crops
BTN,Non-forage beet / Swiss chard,24,Other industrial crops
CAV,Caraway,24,Other industrial crops
CHR,Milk thistle,24,Other industrial crops
CIB,Chive,24,Other industrial crops
CML,Cameline,24,Other industrial crops
CMM,Chamomile,24,Other industrial crops
CRD,Coriander,24,Other industrial crops
CRF,Chervil,24,Other industrial crops
CUM,Cumin,24,Other industrial crops
CUR,Turmeric,24,Other industrial crops
EST,Tarragon,24,Other industrial crops
FNO,Fennel,24,Other industrial crops
FNU,Fenugreek,24,Other industrial crops
HBL,Hop,24,Other industrial crops
LAV,Lavender / Lavandin,24,Other industrial crops
MAV,Mauve,24,Other industrial crops
MLI,Lemon balm,24,Other industrial crops
MLP,St. John's Wort,24,Other industrial crops
MOT,Mustard,24,Other industrial crops
MRJ,Marjoram / Oregano,24,Other industrial crops
MTH,Mint,24,Other industrial crops
ORT,Nettle,24,Other industrial crops
OSE,Sorrel,24,Other industrial crops
PAR,Aromatic plant (other than vanilla),24,Other industrial crops
PMD,Medicinal plant,24,Other industrial crops
PPA,"Another annual fragrant, aromatic and medicinal plant",24,Other industrial crops
PPF,Perfume plant (other than geranium and vetiver),24,Other industrial crops
PPP,"Another perennial, aromatic and medicinal plant",24,Other industrial crops
PSL,Parsley,24,Other industrial crops
PSN,Provence black psyllium,24,Other industrial crops
PSY,Plantain psyllium,24,Other industrial crops
ROM,Rosemary,24,Other industrial crops
SGE,Sage,24,Other industrial crops
SRI,Savory,24,Other industrial crops
TAB,Tobacco,24,Other industrial crops
THY,Thyme,24,Other industrial crops
TOT,Tomato for processing,24,Other industrial crops
VAL,Valerian,24,Other industrial crops
VNB,Vanilla in the woods,24,Other industrial crops
VNL,Vanilla,24,Other industrial crops
VNV,Green vanilla,24,Other industrial crops
YLA,Ylang ylang,24,Other industrial crops
AIL,Garlic,25,Vegetables or flowers
ART,Artichoke,25,Vegetables or flowers
AUB,Eggplant,25,Vegetables or flowers
BLT,Cornflower,25,Vegetables or flowers
BUR,Creeping Bugle,25,Vegetables or flowers
CAR,Carrot,25,Vegetables or flowers
CCN,Cucumber / Pickle,25,Vegetables or flowers
CCT,Zucchini / Pumpkin,25,Vegetables or flowers
CEL,Celery,25,Vegetables or flowers
CES,Chicory / Endive / Escarole,25,Vegetables or flowers
CHU,Cabbage,25,Vegetables or flowers
CMB,Butternut squash / Butternut,25,Vegetables or flowers
CRA,Garden cress 5 years old or less,25,Vegetables or flowers
CRN,Cornille,25,Vegetables or flowers
CRS,Cress,25,Vegetables or flowers
CSS,Greenhouse cultivation above ground,25,Vegetables or flowers
DOL,Dolic,25,Vegetables or flowers
EPI,Spinach,25,Vegetables or flowers
FLA,Other annual vegetable or fruit,25,Vegetables or flowers
FLP,Other perennial vegetable or fruit,25,Vegetables or flowers
FRA,Strawberry,25,Vegetables or flowers
GER,Geranium,25,Vegetables or flowers
HAR,Bean / Flageolet,25,Vegetables or flowers
HPC,Open field ornamental horticulture,25,Vegetables or flowers
HSA,Ornamental horticulture under cover,25,Vegetables or flowers
LBF,Lettuce / Batavia / Oak leaf,25,Vegetables or flowers
LSA,Vegetable under cover,25,Vegetables or flowers
MAC,Chewed up,25,Vegetables or flowers
MLO,Melon,25,Vegetables or flowers
MRG,Daisy,25,Vegetables or flowers
NVT,Turnip,25,Vegetables or flowers
OIG,Onion / Shallot,25,Vegetables or flowers
PAN,Parsnip,25,Vegetables or flowers
PAQ,Daisy,25,Vegetables or flowers
PAS,Watermelon,25,Vegetables or flowers
PMV,Primrose,25,Vegetables or flowers
POR,Leek,25,Vegetables or flowers
POT,Pumpkin / Potimarron,25,Vegetables or flowers
PPO,Peas,25,Vegetables or flowers
PSE,Thought,25,Vegetables or flowers
PTC,Consumption potato,25,Vegetables or flowers
PTF,Starch potato,25,Vegetables or flowers
PVP,Pepper / Chili,25,Vegetables or flowers
RDI,Radish,25,Vegetables or flowers
ROQ,Rocket,25,Vegetables or flowers
RUT,Rutabaga,25,Vegetables or flowers
SFI,Salsify,25,Vegetables or flowers
TOM,Tomato,25,Vegetables or flowers
TOP,Jerusalem artichoke,25,Vegetables or flowers
VER,Speedwell,25,Vegetables or flowers
CSA,Sugar cane - other,26,Sugar cane
CSF,Sugar cane - tenant farming,26,Sugar cane
CSI,Sugar cane - joint ownership,26,Sugar cane
CSP,Sugar cane - owned or vested directly,26,Sugar cane
CSR,Sugar cane - land reform,26,Sugar cane
ACA,Other crop not specified in the list (admissible),28,Various
BFP,Allowable strip along a forest with production,28,Various
BFS,Allowable strip along a forest without production,28,Various
BOR,Field border,28,Various
BRO,Bromine 5 years old or less,28,Various
BTA,Buffer strip,28,Various
CAE,Chestnut grove maintained by pigs or small ruminants,28,Various
CEE,Oak grove maintained by pigs or small ruminants,28,Various
CID,Cultures grown in inter-rows: 2 cultures each representing more than 25%,28,Various
CIT,Crops grown in inter-rows: 3 cultures each representing more than 25%,28,Various
CUA,Culture under gutted,28,Various
MCT,Miscanthus,28,Various
MPA,Other mixture of nitrogen-fixing plants,28,Various
MRS,Salt marsh,28,Various
NYG,Nyger,28,Various
PCL,Phacelia 5 years old or less,28,Various
PEP,Nursery,28,Various
ROS,Reed bed,28,Various
SBO,Wooded area on old agricultural land,28,Various
SNA,Non-agricultural area not visible on the orthophotograph,28,Various
SNE,Temporarily unexploited agricultural area,28,Various
TBT,Tropical tuber,28,Various
TCR,Short rotation coppice,28,Various
TRU,Truffière (oak grove of mycorrhized plants),28,Various
VET,Vetiver,28,Various
ZZZ,Unknown culture,28,Various
